Filename,X,Y,Neighbors
m222.svg,412.0,218.6,101 | 117 | 90 | 42 | 27 | 10
m223.svg,412.0,218.6,20 | 101 | 90 | 117 | 91 | 10
m224.svg,412.0,218.6,20 | 101 | 117 | 137 | 10
m225.svg,412.0,218.6,20 | 101 | 175 | 194 | 117
m226.svg,420.0,222.1,8
m227.svg,414.0,222.1,8 | 77 | 49 | 156
m228.svg,417.0,223.8,79 | 143 | 154 | 96 | 118 | 122
m229.svg,401.0,213.4,26 | 152 | 148 | 192 | 57 | 197
m230.svg,404.0,211.7,26 | 222 | 148 | 72 | 11 | 124
m231.svg,400.0,218.6,35 | 79 | 209
m232.svg,401.0,220.3,155 | 172
m233.svg,408.0,229.0,99 | 142 | 200 | 184 | 156 | 79
m234.svg,420.0,229.0,61 | 187 | 68 | 174 | 9 | 123
m235.svg,410.0,232.5,189 | 152
m236.svg,403.0,223.8,218 | 100 | 184 | 118 | 50 | 9
m237.svg,406.0,232.5,13 | 172
m238.svg,406.0,197.8,18
m239.svg,413.0,196.1,148 | 69 | 171 | 169
m240.svg,416.0,201.3,136 | 70 | 220 | 5
m241.svg,413.0,203.0,43 | 141 | 130 | 179
m242.svg,415.0,206.5,153 | 107 | 144 | 14 | 98 | 136
m243.svg,415.0,203.0,27 | 5 | 107 | 104
m244.svg,120.0,204.8,152 | 80
m245.svg,415.0,206.5,80 | 107 | 179 | 200 | 115 | 11
m246.svg,410.0,204.8,107 | 81 | 82
m247.svg,406.0,215.1,201 | 138 | 66 | 95
m248.svg,405.0,227.3,203 | 135 | 144 | 216
m249.svg,403.0,227.3,127 | 24 | 200 | 4
m250.svg,411.0,237.7,4 | 171 | 205
m251.svg,410.0,229.0,178 | 39 | 209 | 105 | 11 | 42
m252.svg,411.0,230.7,105 | 58 | 123 | 192
m253.svg,421.0,237.7,50 | 35 | 172 | 44
m254.svg,421.0,230.7,121 | 15 | 49 | 135
m255.svg,413.0,234.2,128 | 213 | 144 | 56 | 97 | 117
m256.svg,412.0,235.9,209 | 141 | 143
m257.svg,423.0,237.7,135
m258.svg,423.0,230.7,124 | 152 | 71
m259.svg,424.0,225.5,110 | 122 | 46 | 50
m260.svg,424.0,225.5,110 | 122 | 46 | 199
m261.svg,423.0,230.7,189 | 46 | 193 | 94
m262.svg,130.0,222.1,
m263.svg,427.0,220.3,50 | 59
m264.svg,128.0,215.1,55 | 72
m265.svg,129.0,216.9,39 | 158 | 120
m266.svg,426.0,222.1,160 | 38 | 49
m267.svg,424.0,222.1,175 | 47 | 38 | 59
m268.svg,422.0,222.1,166 | 176 | 45 | 38
m269.svg,420.0,218.6,103 | 150 | 188 | 87 | 10 | 223
m270.svg,420.0,218.6,103 | 150 | 188 | 87 | 10 | 223
m271.svg,420.0,218.6,103 | 176 | 188 | 87 | 10 | 223
m272.svg,420.0,218.6,103 | 176 | 188 | 87 | 10 | 223
m273.svg,420.0,218.6,103 | 176 | 188 | 87 | 10 | 223
m274.svg,420.0,218.6,103 | 176 | 188 | 87 | 10 | 223
m275.svg,420.0,218.6,103 | 176 | 188 | 87 | 10 | 223
m276.svg,420.0,218.6,103 | 176 | 188 | 87 | 10 | 223
m277.svg,420.0,218.6,103 | 176 | 188 | 87 | 10 | 223
m278.svg,420.0,218.6,103 | 176 | 88 | 87 | 10 | 223
m279.svg,420.0,218.6,103 | 176 | 100 | 87 | 10 | 223
m280.svg,420.0,218.6,176 | 103 | 88 | 87 | 10 | 223
m281.svg,420.0,218.6,176 | 53 | 88 | 87 | 10 | 223
m282.svg,420.0,218.6,155 | 53 | 23 | 87 | 10 | 223
m283.svg,420.0,218.6,155 | 41 | 73 | 87 | 133 | 223
m284.svg,415.0,220.3,113 | 167 | 131 | 10
m285.svg,416.0,215.1,183 | 65 | 108 | 162
m286.svg,410.0,222.1,21 | 18 | 164 | 43
m287.svg,416.0,218.6,155 | 25 | 9 | 164 | 94
m288.svg,413.0,234.2,198 | 13 | 128
m289.svg,415.0,216.9,155 | 73 | 79
m290.svg,416.0,215.1,73 | 45 | 41 | 192
m291.svg,423.0,213.4,20 | 137 | 44 | 6
m292.svg,423.0,213.4,183 | 13 | 44 | 6
m293.svg,423.0,213.4,51 | 25 | 13 | 6
m294.svg,421.0,216.9,99 | 44 | 87 | 86
m295.svg,421.0,216.9,53 | 44 | 211 | 86
m296.svg,421.0,216.9,87 | 44 | 211 | 86
m297.svg,419.0,216.9,170 | 44 | 144 | 211
m298.svg,419.0,216.9,66 | 44 | 171 | 211
m299.svg,419.0,213.4,62 | 9 | 158 | 220 | 201 | 155
m300.svg,421.0,213.4,159 | 114 | 155 | 147 | 13 | 224
m301.svg,422.0,215.1,13 | 224 | 186 | 73
m302.svg,421.0,216.9,155 | 144 | 186 | 66
m303.svg,420.0,218.6,76 | 90 | 223 | 66 | 64 | 21
m304.svg,422.0,218.6,6 | 32 | 64 | 73 | 66 | 133
m305.svg,426.0,218.6,223 | 6 | 104 | 218
m306.svg,123.0,210.0,181 | 21
m307.svg,125.0,210.0,26 | 21 | 159 | 71
m308.svg,123.0,206.5,181
m309.svg,417.0,210.0,89 | 165 | 63
m310.svg,126.0,211.7,54 | 157 | 164 | 188 | 85 | 31
m311.svg,126.0,215.1,164 | 17 | 170
m312.svg,424.0,215.1,139 | 169
m313.svg,424.0,215.1,139 | 96
m314.svg,128.0,215.1,31 | 85 | 150 | 139
m315.svg,127.0,210.0,66 | 220 | 158 | 67
m316.svg,129.0,203.0,
m317.svg,131.0,203.0,21
m318.svg,123.0,210.0,197 | 151
m319.svg,128.0,208.2,96
m320.svg,133.0,213.4,152 | 28 | 40 | 86 | 150 | 195
m321.svg,144.0,225.5,103 | 154
m322.svg,138.0,222.1,212 | 37 | 22 | 71
m323.svg,133.0,220.3,10 | 143 | 137 | 164
m324.svg,135.0,220.3,21 | 164 | 71
m325.svg,140.0,218.6,177 | 164 | 222 | 33
m326.svg,137.0,220.3,11 | 180 | 152 | 28
m327.svg,137.0,210.0,180 | 73
m328.svg,142.0,225.5,16 | 212
m329.svg,139.0,216.9,77 | 136 | 85 | 17
m330.svg,133.0,210.0,164 | 194
m331.svg,127.0,210.0,32 | 17 | 31 | 184
m332.svg,419.0,216.9,172
m333.svg,129.0,216.9,181 | 18 | 15 | 213
m334.svg,129.0,213.4,184 | 212 | 168 | 165 | 207
m335.svg,127.0,213.4,115 | 184 | 212 | 32 | 14
m336.svg,132.0,211.7,223 | 21 | 28 | 126 | 165 | 18
